property,label,description,example
PEL.000014,inactivates,make inactive or inoperative,
PEL.000015,increases,"become or make greater in size, amount, or degree",
PEL.000016,induces,bring about or give rise to,none of these measures induced a change of policy
PEL.000017,inhibits,"hinder, restrain, or prevent (an action or process)",
PEL.000018,initiates,cause (a process or action) to begin,he proposes to initiate discussions on planning procedures
PEL.000019,interrupts,stop the continuous progress of (an activity or process),
PEL.000020,is,"to show a permanent or temporary quality, state",
PEL.000021,limits,curtail or reduce in quantity or extent,
PEL.000022,mentions,refer to something,
PEL.000023,overproduces,produce an excessive amount,"if soils are too fertile, the vines can overproduce, leading to vegetal aromas and flavors"
PEL.000024,phosphorylates,introduce a phosphate group into (a molecule or compound),
PEL.000025,produces,cause (a particular result or situation) to happen or exist,
PEL.000026,promotes,,
PEL.000027,provokes,call forth an action,
PEL.000028,reduces,"diminish in size, amount, extent, or number",
PEL.000029,repress,inactivate (a gene or formation of a gene product),
PEL.000030,reverts,return to previous state,
PEL.000031,shuts,cause to cease or suspend an operation or activity,
PEL.000032,stimulates,"excite to activity or growth or to greater activity
transactivate",induce an increased rate of gene expression triggered either by biological processes
PEL.000033,suppress,inhibit the genetic expression of,
PEL.000034,triggers,initiate or set off,
PEL.000035,upregulates,"increase the rate or level of (a process such as gene expression, or sensitivity to a physiologically active substance) by upregulation",
RO.0000052,characteristic of,"a relation between a specifically dependent continuant (the characteristic) and any other entity (the bearer), in which the characteristic depends on the bearer for its existence.",
RO.0000053,has characteristic,Inverse of characteristic_of,
RO.0000056,participates in,"a relation between a continuant and a process, in which the continuant is somehow involved in the process",
RO.0000057,has participant,"a relation between a process and a continuant, in which the continuant is somehow involved in the process",
RO.0000058,is concretized as,"A relationship between a generically dependent continuant and a specifically dependent continuant, in which the generically dependent continuant depends on some independent continuant in virtue of the fact that the specifically dependent continuant also depends on that same independent continuant. A generically dependent continuant may be concretized as multiple specifically dependent continuants.",
RO.0000059,concretizes,"A relationship between a specifically dependent continuant and a generically dependent continuant, in which the generically dependent continuant depends on some independent continuant in virtue of the fact that the specifically dependent continuant also depends on that same independent continuant. Multiple specifically dependent continuants can concretize the same generically dependent continuant.",
RO.0000079,function of,"a relation between a function and an independent continuant (the bearer), in which the function specifically depends on the bearer for its existence",
RO.0000080,quality of,"a relation between a quality and an independent continuant (the bearer), in which the quality specifically depends on the bearer for its existence",
RO.0000081,role of,"a relation between a role and an independent continuant (the bearer), in which the role specifically depends on the bearer for its existence",
RO.0000085,has function,"a relation between an independent continuant (the bearer) and a function, in which the function specifically depends on the bearer for its existence",
RO.0000086,has quality,"a relation between an independent continuant (the bearer) and a quality, in which the quality specifically depends on the bearer for its existence",
RO.0000087,has role,"a relation between an independent continuant (the bearer) and a role, in which the role specifically depends on the bearer for its existence",
RO.0000091,has disposition,"a relation between an independent continuant (the bearer) and a disposition, in which the disposition specifically depends on the bearer for its existence",
RO.0000092,disposition of,inverse of has disposition,
RO.0001000,derives from,"a relation between two distinct material entities, the new entity and the old entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",
RO.0001001,derives into,"a relation between two distinct material entities, the old entity and the new entity, in which the new entity begins to exist when the old entity ceases to exist, and the new entity inherits the significant portion of the matter of the old entity",
RO.0001015,location of,"a relation between two independent continuants, the location and the target, in which the target is entirely within the location",
RO.0001020,is allergic trigger for,"A relation between a material entity and a condition (a phenotype or disease) of a host, in which the material entity is not part of the host, and is considered harmless to non-allergic hosts, and the condition results in pathological processes that include an abnormally strong immune response against the material entity.",
RO.0001021,is autoimmune trigger for,"A relation between a material entity and a condition (a phenotype or disease) of a host, in which the material entity is part of the host itself, and the condition results in pathological processes that include an abnormally strong immune response against the material entity.",
RO.0001022,has allergic trigger,"A relation between a condition (a phenotype or disease) of a host and a material entity, in which the material entity is not part of the host, and is considered harmless to non-allergic hosts, and the condition results in pathological processes that include an abnormally strong immune response against the material entity.",
RO.0001023,has autoimmune trigger,"A relation between a condition (a phenotype or disease) of a host and a material entity, in which the material entity is part of the host itself, and the condition results in pathological processes that include an abnormally strong immune response against the material entity.",
RO.0001025,located in,"a relation between two independent continuants, the target and the location, in which the target is entirely within the location",
RO.0002000,2D boundary of,"a relation between a 2D immaterial entity (the boundary) and a material entity, in which the boundary delimits the material entity",
RO.0002001,aligned with,,
RO.0002002,has 2D boundary,"a relation between a material entity and a 2D immaterial entity (the boundary), in which the boundary delimits the material entity",
RO.0002003,electrically_synapsed_to,A relation that holds between two neurons that are electrically coupled via gap junctions.,
RO.0002004,tracheates,The relationship that holds between a trachea or tracheole and an antomical structure that is contained in (and so provides an oxygen supply to).,
RO.0002005,innervated_by,aroused or stimulated (a nerve or an organ) to activity,
RO.0002006,has synaptic terminal of,,
RO.0002007,bounding layer of,"X outer_layer_of Y iff:
. X :continuant that bearer_of some PATO:laminar
. X part_of Y
. exists Z :surface
. X has_boundary Z
. Z boundary_of Y

has_boundary: http://purl.obolibrary.org/obo/RO_0002002
boundary_of: http://purl.obolibrary.org/obo/RO_0002000",
RO.0002008,coincident with,A relation that holds between two linear structures that are approximately parallel to each other for their entire length and where either the two structures are adjacent to each other or one is part of the other.,
RO.0002009,cell expresses,"A relation that applies between a cell(c) and a gene(g) , where the process of 'transcription, DNA templated (GO_0006351)' is occuring in in cell c and that process has input gene g.",
RO.0002010,regulates in another organism,"x 'regulates in other organism' y if and only if: (x is the realization of a function to exert an effect on the frequency, rate or extent of y) AND (the agents of x are produced by organism o1 and the agents of y are produced by organism o2).",
RO.0002011,regulates transport of,A relationship that holds between a  process that regulates a transport process and the entity transported by that process.,
RO.0002012,occurrent part of,A part of relation that applies only between occurrents.,
RO.0002013,has regulatory component activity,"A 'has regulatory component activity' B if A and B are GO molecular functions (GO_0003674), A has_component B and A is regulated by B.",
RO.0002014,has negative regulatory component activity,"A relationship that holds between a GO molecular function and a component of that molecular function that negatively regulates the activity of the whole.  More formally, A 'has regulatory component activity' B iff :A and B are GO molecular functions (GO_0003674), A has_component B and A is negatively regulated by B.",
RO.0002015,has positive regulatory component activity,"A relationship that holds between a GO molecular function and a component of that molecular function that positively regulates the activity of the whole.  More formally, A 'has regulatory component activity' B iff :A and B are GO molecular functions (GO_0003674), A has_component B and A is positively regulated by B.",
RO.0002016,has necessary component activity,,
RO.0002017,has component activity,,
RO.0002018,has component process,"w 'has process component' p if p and w are processes,  w 'has part' p and w is such that it can be directly disassembled into into n parts p, p2, p3, ..., pn, where these parts are of similar type.",
RO.0002019,has ligand,"A relationship that holds between between a receptor and an chemical entity, typically a small molecule or peptide, that carries information between cells or compartments of a cell and which binds the receptor and regulates its effector function.",
RO.0002020,transports,Holds between p and c when p is a transport process or transporter activity and the outcome of this p is to move c from one location to another.,
RO.0002021,occurs across,"A relationship between a process and a barrier, where the process occurs in a region spanning the barrier. For cellular processes the barrier is typically a membrane. Examples include transport across a membrane and membrane depolarization.",
RO.0002022,directly regulated by,,
RO.0002023,directly negatively regulated by,"Process(P2) is directly negatively regulated by process(P1) iff: P1 negatively regulates P2 via direct physical interaction between an agent executing P1 (or some part of P1) and an agent executing P2 (or some part of P2).  For example, if protein A has protein binding activity(P1) that targets protein B and this binding  negatively regulates the kinase activity (P2) of protein B then P2 directly negatively regulated by P1.",
RO.0002024,directly positively regulated by,"Process(P2) is directly postively regulated by process(P1) iff: P1 positively regulates P2 via direct physical interaction between an agent executing P1 (or some part of P1) and an agent executing P2 (or some part of P2).  For example, if protein A has protein binding activity(P1) that targets protein B and this binding positively regulates the kinase activity (P2) of protein B then P2 is directly postively regulated by P1.",
RO.0002025,has effector activity,"A 'has effector activity' B if A and B are GO molecular functions (GO_0003674),  A 'has component activity' B and B is the effector (output function) of B.  Each compound function has only one effector activity.",
RO.0002026,in register with,"A relationship that holds between two images, A and B, where:
A depicts X;
B depicts Y;
X and Y are both of type T'
C is a 2 layer image consiting of layers A and B;
A and B are aligned in C according to a shared co-ordinate framework so that common features of X and Y are co-incident with each other.
Note: A and B may be 2D or 3D.
Examples include: the relationship between two channels collected simultaneously from a confocal microscope; the relationship between an image dpeicting X and a painted annotation layer that delineates regions of X; the relationship between the tracing of a neuron on an EM stack and the co-ordinate space of the stack; the relationship between two separately collected images that have been brought into register via some image registration software.",
RO.0002081,before or simultaneous with,,
RO.0002082,simultaneous with,"x simultaneous with y iff ω(x) = ω(y) and ω(α ) = ω(α), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point and '=' indicates the same instance in time.",
RO.0002083,before,,
RO.0002084,during which ends,,
RO.0002085,encompasses,,
RO.0002086,ends after,,
RO.0002087,immediately preceded by,,
RO.0002088,during which starts,,
RO.0002089,starts before,,
RO.0002090,immediately precedes,,
RO.0002091,starts during,,
RO.0002092,happens during,,
RO.0002093,ends during,,
RO.0002100,has soma location,Relation between a neuron and a material anatomical entity that its soma is part of.,
RO.0002101,fasciculates with,"relationship between a neuron and a neuron projection bundle (e.g.- tract or nerve bundle) that one or more of its projections travels through.
",
RO.0002102,axon synapses in,Relation between a neuron and some structure its axon forms (chemical) synapses in.,
RO.0002103,synapsed by,Relation between an anatomical structure (including cells) and a neuron that chemically synapses to it. ,
RO.0002104,has plasma membrane part,"Holds between a cell c and a protein complex or protein p if and only if that cell has as part a plasma_membrane[GO:0005886], and that plasma membrane has p as part.",
RO.0002105,synapsed_via_type_Ib_bouton_to,A relation between a motor neuron and a muscle that it synapses to via a type Ib bouton.,
RO.0002106,synapsed_via_type_Is_bouton_to,A relation between a motor neuron and a muscle that it synapses to via a type Is bouton.,
RO.0002107,synapsed_via_type_II_bouton_to,A relation between a motor neuron and a muscle that it synapses to via a type II bouton.,
RO.0002108,synapsed_by_via_type_II_bouton,Relation between a muscle and a motor neuron that synapses to it via a type II bouton.,
RO.0002109,synapsed_by_via_type_Ib_bouton,Relation between a muscle and a motor neuron that synapses to it via a type Ib bouton.,
RO.0002110,has postsynaptic terminal in,Relation between a neuron and some structure (e.g.- a brain region) in which it receives (chemical) synaptic input. ,
RO.0002111,releases neurotransmitter,,
RO.0002112,synapsed_by_via_type_Is_bouton,Relation between a muscle and a motor neuron that synapses to it via a type Is bouton.,
RO.0002113,has presynaptic terminal in,Relation between a neuron and some structure (e.g.- a brain region) in which it receives (chemical) synaptic input.,
RO.0002114,synapsed_via_type_III_bouton_to,A relation between a motor neuron and a muscle that it synapses to via a type III bouton.,
RO.0002115,synapsed_by_via_type_III_bouton,"Relation between a muscle and a motor neuron that synapses to it via a type III bouton.
",
RO.0002120,synapsed to," Relation between a neuron and an anatomical structure (including cells) that it chemically synapses to.
        ",
RO.0002121,dendrite synapsed in,"Relation between a neuron and some structure  (e.g.- a brain region) in which its dendrite receives synaptic input.

	",
RO.0002130,has synaptic terminal in,A general relation between a neuron and some structure in which it either chemically synapses to some target or in which it receives (chemical) synaptic input.,
RO.0002131,overlaps,x overlaps y if and only if there exists some z such that x has part z and z part of y,
RO.0002132,has fasciculating neuron projection,The relation between a neuron projection bundle and a neuron projection that is fasciculated with it.,
RO.0002134,innervates,"Relation between a 'neuron projection bundle' and a region in which one or more of its component neuron projections either synapses to targets or receives synaptic input.
T innervates some R
Expands_to: T has_fasciculating_neuron_projection that synapse_in some R.",
RO.0002150,continuous with,X continuous_with Y if and only if X and Y share a fiat boundary.,
RO.0002151,partially overlaps,"x partially overlaps y iff there exists some z such that z is part of x and z is part of y, and it is also the case that neither x is part of y or y is part of x",
RO.0002156,derived by descent from,d derived_by_descent_from a if d is specified by some genetic program that is sequence-inherited-from a genetic program that specifies a.,
RO.0002157,has derived by descendant,inverse of derived by descent from,
RO.0002158,shares ancestor with,two individual entities d1 and d2 stand in a shares_ancestor_with relation if and only if there exists some a such that d1 derived_by_descent_from a and d2 derived_by_descent_from a.,
RO.0002159,serially homologous to,,
RO.0002160,only in taxon,"x only in taxon y if and only if x is in taxon y, and there is no other organism z such that y!=z a and x is in taxon z.",
RO.0002162,in taxon,"x is in taxon y if an only if y is an organism, and the relationship between x and y is one of: part of (reflexive), developmentally preceded by, derives from, secreted by, expressed.",
RO.0002163,spatially disjoint from,A is spatially_disjoint_from B if and only if they have no parts in common,
RO.0002170,connected to,"a is connected to b if and only if a and b are discrete structure, and there exists some connecting structure c, such that c connects a and b",
RO.0002176,connects,"c connects a if and only if there exist some b such that a and b are similar parts of the same system, and c connects b, specifically, c connects a with b. When one structure connects two others it unites some aspect of the function or role they play within the system.",
RO.0002177,attached to part of,"a is attached to part of b if a is attached to b, or a is attached to some p, where p is part of b.",
RO.0002178,supplies,"Relation between an arterial structure and another structure, where the arterial structure acts as a conduit channeling fluid, substance or energy.",
RO.0002179,drains,"Relation between an collecting structure and another structure, where the collecting structure acts as a conduit channeling fluid, substance or energy away from the other structure.",
RO.0002180,has component,"w 'has component' p if w 'has part' p and w is such that it can be directly disassembled into into n parts p, p2, p3, ..., pn, where these parts are of similar type.",
RO.0002200,has phenotype,"A relationship that holds between a biological entity and a phenotype. Here a phenotype is construed broadly as any kind of quality of an organism part, a collection of these qualities, or a change in quality or qualities (e.g. abnormally increased temperature). The subject of this relationship can be an organism (where the organism has the phenotype, i.e. the qualities inhere in parts of this organism), a genomic entity such as a gene or genotype (if modifications of the gene or the genotype causes the phenotype), or a condition such as a disease (such that if the condition inheres in an organism, then the organism has the phenotype).",
RO.0002201,phenotype of,inverse of has phenotype,
RO.0002202,develops from,x develops from y if and only if either (a) x directly develops from y or (b) there exists some z such that x directly develops from z and z develops from y,
RO.0002203,develops into,inverse of develops from,
RO.0002204,gene product of,"definition ""x has gene product of y if and only if y is a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of that process is either y or something that is ribosomally translated from x""",
RO.0002205,has gene product,x has gene product y if and only if x is a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of that process is either y or something that is ribosomally translated from y,
RO.0002206,expressed in,"x expressed in y if and only if there is a gene expression process (GO:0010467) that occurs in y, and one of the following holds: (i) x is a gene, and x is transcribed into a transcript as part of the gene expression process (ii) x is a transcript, and the transcription of x is part of the gene expression process (iii) x is a mature gene product such as a protein, and x was translated or otherwise processes from a transcript that was transcribed as part of this gene expression process",
RO.0002207,directly develops from,"Candidate definition: x directly_develops from y if and only if there exists some developmental process (GO:0032502) p such that x and y both participate in p, and x is the output of p and y is the input of p, and a substantial portion of the matter of x comes from y, and the start of x is coincident with or after the end of y.",
RO.0002208,parasitoid of,A parasite that kills or sterilizes its host,
RO.0002209,has parasitoid,inverse of parasitoid of,
RO.0002210,directly develops into,inverse of directly develops from,
RO.0002211,regulates,"p regulates q iff p is causally upstream of q, the execution of p is not constant and varies according to specific conditions, and p influences the rate or magnitude of execution of q due to an effect either on some enabler of q or some enabler of a part of q.",
RO.0002212,negatively regulates,"p negatively regulates q iff p regulates q, and p decreases the rate or magnitude of execution of q.",
RO.0002213,positively regulates,"p positively regulates q iff p regulates q, and p increases the rate or magnitude of execution of q.",
RO.0002214,has prototype,"x has prototype y if and only if x is an instance of C and y is a prototypical instance of C. For example, every instance of heart, both normal and abnormal is related by the has prototype relation to some instance of a ""canonical"" heart, which participates in blood circulation.",
RO.0002215,capable of,"A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. ",
RO.0002216,capable of part of,"c stands in this relationship to p if and only if there exists some p' such that c is capable_of p', and p' is part_of p.",
RO.0002219,surrounded by,"x surrounded_by y if and only if (1) x is adjacent to y and for every region r that is adjacent to x, r overlaps y (2) the shared boundary between x and y occupies the majority of the outermost boundary of x",
RO.0002220,adjacent to,x adjacent to y if and only if x and y share a boundary.,
RO.0002221,surrounds,inverse of surrounded by,
RO.0002222,temporally related to,,
RO.0002223,starts,inverse of starts with,
RO.0002224,starts with,"x starts with y if and only if x has part y and the time point at which x starts is equivalent to the time point at which y starts. Formally: α(y) = α(x) ∧ ω(y) < ω(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.",
RO.0002225,develops from part of,x develops from part of y if and only if there exists some z such that x develops from z and z is part of y,
RO.0002226,develops in,x develops_in y if x is located in y whilst x is developing,
RO.0002227,obligate parasite of,A sub-relation of parasite-of in which the parasite that cannot complete its life cycle without a host.,
RO.0002228,facultative parasite of,A sub-relations of parasite-of in which the parasite that can complete its life cycle independent of a host.,
RO.0002229,ends,inverse of ends with,
RO.0002230,ends with,"x ends with y if and only if x has part y and the time point at which x ends is equivalent to the time point at which y ends. Formally: α(y) > α(x) ∧ ω(y) = ω(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point.",
RO.0002231,has start location,x 'has starts location' y if and only if there exists some process z such that x 'starts with' z and z 'occurs in' y,
RO.0002232,has end location,x 'has end location' y if and only if there exists some process z such that x 'ends with' z and z 'occurs in' y,
RO.0002233,has input,"p has input c iff: p is a process, c is a material entity, c is a participant in p, c is present at the start of p, and the state of c is modified during p.",
RO.0002234,has output,"p has output c iff c is a participant in p, c is present at the end of p, and c is not present in the same state at the beginning of p.",
RO.0002235,stem parasite of,A parasite-of relationship in which the host is a plant and the parasite that attaches to the host stem (PO:0009047),
RO.0002236,root parasite of,A parasite-of relationship in which the host is a plant and the parasite that attaches to the host root (PO:0009005),
RO.0002237,hemiparasite of,"A sub-relation of parasite-of in which the parasite is a plant, and the parasite is parasitic under natural conditions and is also photosynthetic to some degree. Hemiparasites may just obtain water and mineral nutrients from the host plant. Many obtain at least part of their organic nutrients from the host as well.",
RO.0002238,has component participant,X 'has component participant' Y means X 'has participant' Y and there is a cardinality constraint that specifies the numbers of Ys.,
RO.0002240,has exposure receptor,"A broad relationship between an exposure event or process and any entity (e.g., an organism, organism population, or an organism part) that interacts with an exposure stimulus during the exposure event.",
RO.0002241,has exposure stressor,"A broad relationship between an exposure event or process and any agent, stimulus, activity, or event that causes stress or tension on an organism and interacts with an exposure receptor during an exposure event.",
RO.0002242,has exposure route,A broad relationship between an exposure event or process and a process by which the exposure stressor comes into contact with the exposure receptor,
RO.0002243,has exposure transport path,A broad relationship between an exposure event or process and the course takes from the source to the target.,
RO.0002244,related via exposure to,Any relationship between an exposure event or process and any other entity.,
RO.0002245,over-expressed in,"g is over-expressed in t iff g is expressed in t, and the expression level of g is increased relative to some background.",
RO.0002246,under-expressed in,"g is under-expressed in t iff g is expressed in t, and the expression level of g is decreased relative to some background.",
RO.0002248,has active ingredient,"A relationship that holds between a substance and a chemical entity, if the chemical entity is part of the substance, and the chemical entity forms the biologically active component of the substance.",
RO.0002249,active ingredient in,inverse of has active ingredient,
RO.0002252,connecting branch of,"b connecting-branch-of s iff b is connected to s, and there exists some tree-like structure t such that the mereological sum of b plus s is either the same as t or a branching-part-of t.",
RO.0002253,has connecting branch,inverse of connecting branch of,
RO.0002254,has developmental contribution from,x has developmental contribution from y iff x has some part z such that z develops from y,
RO.0002255,developmentally contributes to,inverse of has developmental contribution from,
RO.0002256,developmentally induced by,"t1 induced_by t2 if there is a process of developmental induction (GO:0031128) with t1 and t2 as interacting participants. t2 causes t1 to change its fate from a precursor material anatomical entity type T to T', where T' develops_from T",
RO.0002257,developmentally induces,Inverse of developmentally induced by,
RO.0002258,developmentally preceded by,"Candidate definition: x developmentally related to y if and only if there exists some developmental process (GO:0032502) p such that x and y both participates in p, and x is the output of p and y is the input of p",
RO.0002260,has biological role,c has-biological-role r iff c has-role r and r is a biological role (CHEBI:24432),
RO.0002261,has application role,c has-application-role r iff c has-role r and r is an application role (CHEBI:33232),
RO.0002262,has chemical role,c has-chemical-role r iff c has-role r and r is a chemical role (CHEBI:51086),
RO.0002263,acts upstream of,"c acts upstream of p if and only if c enables some f that is involved in p' and p' occurs chronologically before p, is not part of p, and affects the execution of p. c is a material entity and f, p, p' are processes.",
RO.0002264,acts upstream of or within,"c acts upstream of or within p if c is enables f, and f is causally upstream of or within p. c is a material entity and p is an process.",
RO.0002285,developmentally replaces,"x developmentally replaces y if and only if there is some developmental process that causes x to move or to cease to exist, and for the site that was occupied by x to become occupied by y, where y either comes into existence in this site or moves to this site from somewhere else",
RO.0002286,developmentally succeeded by,Inverse of developmentally preceded by,
RO.0002287,part of developmental precursor of,,
RO.0002291,ubiquitously expressed in,"x is ubiquitously expressed in y if and only if x is expressed in y, and the majority of cells in y express x",
RO.0002292,expresses,"y expresses x if and only if there is a gene expression process (GO:0010467) that occurs in y, and one of the following holds: (i) x is a gene, and x is transcribed into a transcript as part of the gene expression process (ii) x is a transcript, and x was transcribed from a gene as part of the gene expression process (iii) x is a mature gene product (protein or RNA), and x was translated or otherwise processed from a transcript that was transcribed as part of the gene expression process.",
RO.0002293,ubiquitously expresses,inverse of ubiquiotously expressed in,
RO.0002295,results in developmental progression of,"p results in the developmental progression of s iff p is a developmental process and s is an anatomical entity and p causes s to undergo a change in state at some point along its natural developmental cycle (this cycle starts with its formation, through the mature structure, and ends with its loss).",
RO.0002296,results in development of,p 'results in development of' c if and only if p is a developmental process and p results in the state of c changing from its initial state as a primordium or anlage through its mature state and to its final state.,
RO.0002297,results in formation of anatomical entity,,
RO.0002298,results in morphogenesis of,The relationship that links an entity with the process that results in the formation and shaping of that entity over time from an immature to a mature state.,
RO.0002299,results in maturation of,The relationship that links an entity with a process that results in the progression of the entity over time that is independent of changes in it's shape and results in an end point state of that entity.,
RO.0002300,results in disappearance of,,
RO.0002301,results in developmental regression of,,
RO.0002302,is treated by substance,Inverse of 'is substance that treats',
RO.0002303,has habitat,"x 'has habitat' y if and only if: x is an organism, y is a habitat, and y can sustain and allow the growth of a population of xs.",
RO.0002304,"causally upstream of, positive effect","p is causally upstream of, positive effect q iff p is casually upstream of q, and the execution of p is required for the execution of q.",
RO.0002305,"causally upstream of, negative effect","p is causally upstream of, negative effect q iff p is casually upstream of q, and the execution of p decreases the execution of q.",
RO.0002309,has exposure stimulus,"A relationship between an exposure event or process and any agent, stimulus, activity, or event that causally effects an organism and interacts with an exposure receptor during an exposure event.",
RO.0002312,evolutionary variant of,,
RO.0002313,transports or maintains localization of,Holds between p and c when p is a localization process (localization covers maintenance of localization as well as its establishment)  and the outcome of this process is to regulate the localization of c.,
RO.0002314,characteristic of part of,q characteristic of part of w if and only if there exists some p such that q inheres in p and p part of w.,
RO.0002315,results in acquisition of features of,The relationship that links a specified entity with the process that results in an unspecified entity acquiring the features and characteristics of the specified entity,
RO.0002320,evolutionarily related to,A relationship that holds via some environmental process,
RO.0002321,ecologically related to,A relationship that is mediated in some way by the environment or environmental feature (ENVO:00002297),
RO.0002322,confers advantage in,,
RO.0002323,mereotopologically related to,A mereological relationship or a topological relationship,
RO.0002324,developmentally related to,A relationship that holds between entities participating in some developmental process (GO:0032502),
RO.0002325,colocalizes with,a colocalizes_with b if and only if  a is transiently or peripherally associated with b[GO].,
RO.0002326,contributes to,,
RO.0002327,enables,c enables p iff c is capable of p and c acts to execute p.,
RO.0002328,functionally related to,"A grouping relationship for any relationship directly involving a function, or that holds because of a function of one of the related entities.",
RO.0002329,part of structure that is capable of,"this relation holds between c and p when c is part of some c', and c' is capable of p.",
RO.0002330,genomically related to,"holds between two entities when some genome-level process such as gene expression is involved. This includes transcriptional, spliceosomal events. These relations can be used between either macromolecule entities (such as regions of nucleic acid) or between their abstract informational counterparts.",
RO.0002331,involved in,"c involved_in p if and only if c enables some process p', and p' is part of p",
RO.0002332,regulates levels of,p regulates levels of c if p regulates some amount (PATO:0000070) of c,
RO.0002333,enabled by,inverse of enables,
RO.0002334,regulated by,inverse of regulates,
RO.0002335,negatively regulated by,inverse of negatively regulates,
RO.0002336,positively regulated by,inverse of positively regulates,
RO.0002337,related via localization to,A relationship that holds via some process of localization,
RO.0002338,has target start location,This relationship holds between p and l when p is a transport or localization process in which the outcome is to move some cargo c from some initial location l to some destination.,
RO.0002339,has target end location,This relationship holds between p and l when p is a transport or localization process in which the outcome is to move some cargo c from a an initial location to some destination l.,
RO.0002340,imports,"Holds between p and c when p is a transportation or localization process and the outcome of this process is to move c to a destination that is part of some s, where the start location of c is part of the region that surrounds s.",
RO.0002341,results in transport along,"Holds between p and l when p is a transportation or localization process and the outcome of this process is to move c from one location to another, and the route taken by c follows a path that is aligned_with l ",
RO.0002342,results in transport across,"Holds between p and m when p is a transportation or localization process and the outcome of this process is to move c from one location to another, and the route taken by c follows a path that crosses m.",
RO.0002343,results in growth of,,
RO.0002344,results in transport to from or in,,
RO.0002345,exports,"Holds between p and c when p is a transportation or localization process and the outcome of this process is to move c to a destination that is part of some s, where the end location of c is part of the region that surrounds s.",
RO.0002348,results in commitment to,p 'results in commitment to' c if and only if p is a developmental process and c is a cell and p results in the state of c changing such that is can only develop into a single cell type.,
RO.0002349,results in determination of,"p 'results in determination of' c if and only if p is a developmental process and c is a cell and p results in the state of c changing to be determined. Once a cell becomes determined, it becomes committed to differentiate down a particular pathway regardless of its environment.",
RO.0002350,member of,is member of is a mereological relation between a item and a collection.,
RO.0002351,has member,has member is a mereological relation between a collection and an item.,
RO.0002352,input of,inverse of has input,
RO.0002353,output of,inverse of has output,
RO.0002354,formed as result of,,
RO.0002355,results in structural organization of,A relationship between a process and an anatomical entity such that the process contributes to the act of creating the structural organization of the anatomical entity.,
RO.0002356,results in specification of,"The relationship linking a cell and its participation in a process that results in the fate of the cell being specified. Once specification has taken place, a cell will be committed to differentiate down a specific pathway if left in its normal environment. ",
RO.0002357,results in developmental induction of,"p results in developmental induction of c if and only if p is a collection of cell-cell signaling processes that signal to a neighbouring tissue that is the precursor of the mature c, where the signaling results in the commitment to cell types necessary for the formation of c.",
RO.0002360,has dendrite location,,
RO.0002371,attached to,"a is attached to b if and only if a and b are discrete objects or object parts, and there are physical connections between a and b such that a force pulling a will move b, or a force pulling b will move a",
