property,label,description
http://purl.obolibrary.org/obo/RO_0002015,has positive regulatory component activity,"A relationship that holds between a GO molecular function and a component of that molecular function that positively regulates the activity of the whole.  More formally, A 'has regulatory component activity' B iff :A and B are GO molecular functions (GO_0003674), A has_component B and A is positively regulated by B."
http://purl.obolibrary.org/obo/RO_0002016,has necessary component activity,
http://purl.obolibrary.org/obo/RO_0002017,has component activity,
http://purl.obolibrary.org/obo/RO_0002018,has component process,"w 'has process component' p if p and w are processes,  w 'has part' p and w is such that it can be directly disassembled into into n parts p, p2, p3, ..., pn, where these parts are of similar type."
http://purl.obolibrary.org/obo/RO_0002019,has ligand,"A relationship that holds between between a receptor and an chemical entity, typically a small molecule or peptide, that carries information between cells or compartments of a cell and which binds the receptor and regulates its effector function."
http://purl.obolibrary.org/obo/RO_0002020,transports,Holds between p and c when p is a transport process or transporter activity and the outcome of this p is to move c from one location to another.
http://purl.obolibrary.org/obo/RO_0002021,occurs across,"A relationship between a process and a barrier, where the process occurs in a region spanning the barrier. For cellular processes the barrier is typically a membrane. Examples include transport across a membrane and membrane depolarization."
http://purl.obolibrary.org/obo/RO_0002022,directly regulated by,
http://purl.obolibrary.org/obo/RO_0002023,directly negatively regulated by,"Process(P2) is directly negatively regulated by process(P1) iff: P1 negatively regulates P2 via direct physical interaction between an agent executing P1 (or some part of P1) and an agent executing P2 (or some part of P2).  For example, if protein A has protein binding activity(P1) that targets protein B and this binding  negatively regulates the kinase activity (P2) of protein B then P2 directly negatively regulated by P1."
http://purl.obolibrary.org/obo/RO_0002024,directly positively regulated by,"Process(P2) is directly postively regulated by process(P1) iff: P1 positively regulates P2 via direct physical interaction between an agent executing P1 (or some part of P1) and an agent executing P2 (or some part of P2).  For example, if protein A has protein binding activity(P1) that targets protein B and this binding positively regulates the kinase activity (P2) of protein B then P2 is directly postively regulated by P1."
http://purl.obolibrary.org/obo/RO_0002025,has effector activity,"A 'has effector activity' B if A and B are GO molecular functions (GO_0003674),  A 'has component activity' B and B is the effector (output function) of B.  Each compound function has only one effector activity."
http://purl.obolibrary.org/obo/RO_0002026,in register with,"A relationship that holds between two images, A and B, where:
A depicts X;
B depicts Y;
X and Y are both of type T'
C is a 2 layer image consiting of layers A and B;
A and B are aligned in C according to a shared co-ordinate framework so that common features of X and Y are co-incident with each other.
Note: A and B may be 2D or 3D.
Examples include: the relationship between two channels collected simultaneously from a confocal microscope; the relationship between an image dpeicting X and a painted annotation layer that delineates regions of X; the relationship between the tracing of a neuron on an EM stack and the co-ordinate space of the stack; the relationship between two separately collected images that have been brought into register via some image registration software."
http://purl.obolibrary.org/obo/RO_0002081,before or simultaneous with,
http://purl.obolibrary.org/obo/RO_0002082,simultaneous with,"x simultaneous with y iff ω(x) = ω(y) and ω(α ) = ω(α), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point and '=' indicates the same instance in time."
http://purl.obolibrary.org/obo/RO_0002083,before,
http://purl.obolibrary.org/obo/RO_0002084,during which ends,
http://purl.obolibrary.org/obo/RO_0002085,encompasses,
http://purl.obolibrary.org/obo/RO_0002086,ends after,
http://purl.obolibrary.org/obo/RO_0002087,immediately preceded by,
http://purl.obolibrary.org/obo/RO_0002088,during which starts,
http://purl.obolibrary.org/obo/RO_0002089,starts before,
http://purl.obolibrary.org/obo/RO_0002090,immediately precedes,
http://purl.obolibrary.org/obo/RO_0002091,starts during,
http://purl.obolibrary.org/obo/RO_0002092,happens during,
http://purl.obolibrary.org/obo/RO_0002093,ends during,
http://purl.obolibrary.org/obo/RO_0002100,has soma location,Relation between a neuron and a material anatomical entity that its soma is part of.
http://purl.obolibrary.org/obo/RO_0002101,fasciculates with,"relationship between a neuron and a neuron projection bundle (e.g.- tract or nerve bundle) that one or more of its projections travels through.
"
http://purl.obolibrary.org/obo/RO_0002102,axon synapses in,Relation between a neuron and some structure its axon forms (chemical) synapses in.
http://purl.obolibrary.org/obo/RO_0002103,synapsed by,Relation between an anatomical structure (including cells) and a neuron that chemically synapses to it. 
http://purl.obolibrary.org/obo/RO_0002104,has plasma membrane part,"Holds between a cell c and a protein complex or protein p if and only if that cell has as part a plasma_membrane[GO:0005886], and that plasma membrane has p as part."
http://purl.obolibrary.org/obo/RO_0002105,synapsed_via_type_Ib_bouton_to,A relation between a motor neuron and a muscle that it synapses to via a type Ib bouton.
http://purl.obolibrary.org/obo/RO_0002106,synapsed_via_type_Is_bouton_to,A relation between a motor neuron and a muscle that it synapses to via a type Is bouton.
http://purl.obolibrary.org/obo/RO_0002107,synapsed_via_type_II_bouton_to,A relation between a motor neuron and a muscle that it synapses to via a type II bouton.
http://purl.obolibrary.org/obo/RO_0002108,synapsed_by_via_type_II_bouton,Relation between a muscle and a motor neuron that synapses to it via a type II bouton.
http://purl.obolibrary.org/obo/RO_0002109,synapsed_by_via_type_Ib_bouton,Relation between a muscle and a motor neuron that synapses to it via a type Ib bouton.
http://purl.obolibrary.org/obo/RO_0002110,has postsynaptic terminal in,Relation between a neuron and some structure (e.g.- a brain region) in which it receives (chemical) synaptic input. 
http://purl.obolibrary.org/obo/RO_0002111,releases neurotransmitter,
http://purl.obolibrary.org/obo/RO_0002112,synapsed_by_via_type_Is_bouton,Relation between a muscle and a motor neuron that synapses to it via a type Is bouton.
http://purl.obolibrary.org/obo/RO_0002113,has presynaptic terminal in,Relation between a neuron and some structure (e.g.- a brain region) in which it receives (chemical) synaptic input.
http://purl.obolibrary.org/obo/RO_0002114,synapsed_via_type_III_bouton_to,A relation between a motor neuron and a muscle that it synapses to via a type III bouton.
http://purl.obolibrary.org/obo/RO_0002115,synapsed_by_via_type_III_bouton,"Relation between a muscle and a motor neuron that synapses to it via a type III bouton.
"
http://purl.obolibrary.org/obo/RO_0002120,synapsed to," Relation between a neuron and an anatomical structure (including cells) that it chemically synapses to.
        "
http://purl.obolibrary.org/obo/RO_0002121,dendrite synapsed in,"Relation between a neuron and some structure  (e.g.- a brain region) in which its dendrite receives synaptic input.

	"
http://purl.obolibrary.org/obo/RO_0002130,has synaptic terminal in,A general relation between a neuron and some structure in which it either chemically synapses to some target or in which it receives (chemical) synaptic input.
http://purl.obolibrary.org/obo/RO_0002131,overlaps,x overlaps y if and only if there exists some z such that x has part z and z part of y
http://purl.obolibrary.org/obo/RO_0002132,has fasciculating neuron projection,The relation between a neuron projection bundle and a neuron projection that is fasciculated with it.
http://purl.obolibrary.org/obo/RO_0002134,innervates,"Relation between a 'neuron projection bundle' and a region in which one or more of its component neuron projections either synapses to targets or receives synaptic input.
T innervates some R
Expands_to: T has_fasciculating_neuron_projection that synapse_in some R."
http://purl.obolibrary.org/obo/RO_0002150,continuous with,X continuous_with Y if and only if X and Y share a fiat boundary.
http://purl.obolibrary.org/obo/RO_0002151,partially overlaps,"x partially overlaps y iff there exists some z such that z is part of x and z is part of y, and it is also the case that neither x is part of y or y is part of x"
http://purl.obolibrary.org/obo/RO_0002156,derived by descent from,d derived_by_descent_from a if d is specified by some genetic program that is sequence-inherited-from a genetic program that specifies a.
http://purl.obolibrary.org/obo/RO_0002157,has derived by descendant,inverse of derived by descent from
http://purl.obolibrary.org/obo/RO_0002158,shares ancestor with,two individual entities d1 and d2 stand in a shares_ancestor_with relation if and only if there exists some a such that d1 derived_by_descent_from a and d2 derived_by_descent_from a.
http://purl.obolibrary.org/obo/RO_0002159,serially homologous to,
http://purl.obolibrary.org/obo/RO_0002160,only in taxon,"x only in taxon y if and only if x is in taxon y, and there is no other organism z such that y!=z a and x is in taxon z."
http://purl.obolibrary.org/obo/RO_0002162,in taxon,"x is in taxon y if an only if y is an organism, and the relationship between x and y is one of: part of (reflexive), developmentally preceded by, derives from, secreted by, expressed."
http://purl.obolibrary.org/obo/RO_0002163,spatially disjoint from,A is spatially_disjoint_from B if and only if they have no parts in common
http://purl.obolibrary.org/obo/RO_0002170,connected to,"a is connected to b if and only if a and b are discrete structure, and there exists some connecting structure c, such that c connects a and b"
http://purl.obolibrary.org/obo/RO_0002176,connects,"c connects a if and only if there exist some b such that a and b are similar parts of the same system, and c connects b, specifically, c connects a with b. When one structure connects two others it unites some aspect of the function or role they play within the system."
http://purl.obolibrary.org/obo/RO_0002177,attached to part of,"a is attached to part of b if a is attached to b, or a is attached to some p, where p is part of b."
http://purl.obolibrary.org/obo/RO_0002178,supplies,"Relation between an arterial structure and another structure, where the arterial structure acts as a conduit channeling fluid, substance or energy."
http://purl.obolibrary.org/obo/RO_0002179,drains,"Relation between an collecting structure and another structure, where the collecting structure acts as a conduit channeling fluid, substance or energy away from the other structure."
http://purl.obolibrary.org/obo/RO_0002180,has component,"w 'has component' p if w 'has part' p and w is such that it can be directly disassembled into into n parts p, p2, p3, ..., pn, where these parts are of similar type."
http://purl.obolibrary.org/obo/RO_0002200,has phenotype,"A relationship that holds between a biological entity and a phenotype. Here a phenotype is construed broadly as any kind of quality of an organism part, a collection of these qualities, or a change in quality or qualities (e.g. abnormally increased temperature). The subject of this relationship can be an organism (where the organism has the phenotype, i.e. the qualities inhere in parts of this organism), a genomic entity such as a gene or genotype (if modifications of the gene or the genotype causes the phenotype), or a condition such as a disease (such that if the condition inheres in an organism, then the organism has the phenotype)."
http://purl.obolibrary.org/obo/RO_0002201,phenotype of,inverse of has phenotype
http://purl.obolibrary.org/obo/RO_0002202,develops from,x develops from y if and only if either (a) x directly develops from y or (b) there exists some z such that x directly develops from z and z develops from y
http://purl.obolibrary.org/obo/RO_0002203,develops into,inverse of develops from
http://purl.obolibrary.org/obo/RO_0002204,gene product of,"definition ""x has gene product of y if and only if y is a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of that process is either y or something that is ribosomally translated from x"""
http://purl.obolibrary.org/obo/RO_0002205,has gene product,x has gene product y if and only if x is a gene (SO:0000704) that participates in some gene expression process (GO:0010467) where the output of that process is either y or something that is ribosomally translated from y
http://purl.obolibrary.org/obo/RO_0002206,expressed in,"x expressed in y if and only if there is a gene expression process (GO:0010467) that occurs in y, and one of the following holds: (i) x is a gene, and x is transcribed into a transcript as part of the gene expression process (ii) x is a transcript, and the transcription of x is part of the gene expression process (iii) x is a mature gene product such as a protein, and x was translated or otherwise processes from a transcript that was transcribed as part of this gene expression process"
http://purl.obolibrary.org/obo/RO_0002207,directly develops from,"Candidate definition: x directly_develops from y if and only if there exists some developmental process (GO:0032502) p such that x and y both participate in p, and x is the output of p and y is the input of p, and a substantial portion of the matter of x comes from y, and the start of x is coincident with or after the end of y."
http://purl.obolibrary.org/obo/RO_0002208,parasitoid of,A parasite that kills or sterilizes its host
http://purl.obolibrary.org/obo/RO_0002209,has parasitoid,inverse of parasitoid of
http://purl.obolibrary.org/obo/RO_0002210,directly develops into,inverse of directly develops from
http://purl.obolibrary.org/obo/RO_0002211,regulates,"p regulates q iff p is causally upstream of q, the execution of p is not constant and varies according to specific conditions, and p influences the rate or magnitude of execution of q due to an effect either on some enabler of q or some enabler of a part of q."
http://purl.obolibrary.org/obo/RO_0002212,negatively regulates,"p negatively regulates q iff p regulates q, and p decreases the rate or magnitude of execution of q."
http://purl.obolibrary.org/obo/RO_0002213,positively regulates,"p positively regulates q iff p regulates q, and p increases the rate or magnitude of execution of q."
http://purl.obolibrary.org/obo/RO_0002214,has prototype,"x has prototype y if and only if x is an instance of C and y is a prototypical instance of C. For example, every instance of heart, both normal and abnormal is related by the has prototype relation to some instance of a ""canonical"" heart, which participates in blood circulation."
http://purl.obolibrary.org/obo/RO_0002215,capable of,"A relation between a material entity (such as a cell) and a process, in which the material entity has the ability to carry out the process. "
http://purl.obolibrary.org/obo/RO_0002216,capable of part of,"c stands in this relationship to p if and only if there exists some p' such that c is capable_of p', and p' is part_of p."
http://purl.obolibrary.org/obo/RO_0002217,obsolete actively participates in,OBSOLETE x actively participates in y if and only if x participates in y and x realizes some active role
http://purl.obolibrary.org/obo/RO_0002218,obsolete has active participant,OBSOLETE x has participant y if and only if x realizes some active role that inheres in y
http://purl.obolibrary.org/obo/RO_0002219,surrounded by,"x surrounded_by y if and only if (1) x is adjacent to y and for every region r that is adjacent to x, r overlaps y (2) the shared boundary between x and y occupies the majority of the outermost boundary of x"
http://purl.obolibrary.org/obo/RO_0002220,adjacent to,x adjacent to y if and only if x and y share a boundary.
http://purl.obolibrary.org/obo/RO_0002221,surrounds,inverse of surrounded by
http://purl.obolibrary.org/obo/RO_0002222,temporally related to,
http://purl.obolibrary.org/obo/RO_0002223,starts,inverse of starts with
http://purl.obolibrary.org/obo/RO_0002224,starts with,"x starts with y if and only if x has part y and the time point at which x starts is equivalent to the time point at which y starts. Formally: α(y) = α(x) ∧ ω(y) < ω(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point."
http://purl.obolibrary.org/obo/RO_0002225,develops from part of,x develops from part of y if and only if there exists some z such that x develops from z and z is part of y
http://purl.obolibrary.org/obo/RO_0002226,develops in,x develops_in y if x is located in y whilst x is developing
http://purl.obolibrary.org/obo/RO_0002227,obligate parasite of,A sub-relation of parasite-of in which the parasite that cannot complete its life cycle without a host.
http://purl.obolibrary.org/obo/RO_0002228,facultative parasite of,A sub-relations of parasite-of in which the parasite that can complete its life cycle independent of a host.
http://purl.obolibrary.org/obo/RO_0002229,ends,inverse of ends with
http://purl.obolibrary.org/obo/RO_0002230,ends with,"x ends with y if and only if x has part y and the time point at which x ends is equivalent to the time point at which y ends. Formally: α(y) > α(x) ∧ ω(y) = ω(x), where α is a function that maps a process to a start point, and ω is a function that maps a process to an end point."
http://purl.obolibrary.org/obo/RO_0002231,has start location,x 'has starts location' y if and only if there exists some process z such that x 'starts with' z and z 'occurs in' y
http://purl.obolibrary.org/obo/RO_0002232,has end location,x 'has end location' y if and only if there exists some process z such that x 'ends with' z and z 'occurs in' y
http://purl.obolibrary.org/obo/RO_0002233,has input,"p has input c iff: p is a process, c is a material entity, c is a participant in p, c is present at the start of p, and the state of c is modified during p."
http://purl.obolibrary.org/obo/RO_0002234,has output,"p has output c iff c is a participant in p, c is present at the end of p, and c is not present in the same state at the beginning of p."
http://purl.obolibrary.org/obo/RO_0002235,stem parasite of,A parasite-of relationship in which the host is a plant and the parasite that attaches to the host stem (PO:0009047)
http://purl.obolibrary.org/obo/RO_0002236,root parasite of,A parasite-of relationship in which the host is a plant and the parasite that attaches to the host root (PO:0009005)
http://purl.obolibrary.org/obo/RO_0002237,hemiparasite of,"A sub-relation of parasite-of in which the parasite is a plant, and the parasite is parasitic under natural conditions and is also photosynthetic to some degree. Hemiparasites may just obtain water and mineral nutrients from the host plant. Many obtain at least part of their organic nutrients from the host as well."
http://purl.obolibrary.org/obo/RO_0002238,has component participant,X 'has component participant' Y means X 'has participant' Y and there is a cardinality constraint that specifies the numbers of Ys.
http://purl.obolibrary.org/obo/RO_0002240,has exposure receptor,"A broad relationship between an exposure event or process and any entity (e.g., an organism, organism population, or an organism part) that interacts with an exposure stimulus during the exposure event."
http://purl.obolibrary.org/obo/RO_0002241,has exposure stressor,"A broad relationship between an exposure event or process and any agent, stimulus, activity, or event that causes stress or tension on an organism and interacts with an exposure receptor during an exposure event."
http://purl.obolibrary.org/obo/RO_0002242,has exposure route,A broad relationship between an exposure event or process and a process by which the exposure stressor comes into contact with the exposure receptor
http://purl.obolibrary.org/obo/RO_0002243,has exposure transport path,A broad relationship between an exposure event or process and the course takes from the source to the target.
http://purl.obolibrary.org/obo/RO_0002244,related via exposure to,Any relationship between an exposure event or process and any other entity.
http://purl.obolibrary.org/obo/RO_0002245,over-expressed in,"g is over-expressed in t iff g is expressed in t, and the expression level of g is increased relative to some background."
http://purl.obolibrary.org/obo/RO_0002246,under-expressed in,"g is under-expressed in t iff g is expressed in t, and the expression level of g is decreased relative to some background."
http://purl.obolibrary.org/obo/RO_0002248,has active ingredient,"A relationship that holds between a substance and a chemical entity, if the chemical entity is part of the substance, and the chemical entity forms the biologically active component of the substance."
http://purl.obolibrary.org/obo/RO_0002249,active ingredient in,inverse of has active ingredient
http://purl.obolibrary.org/obo/RO_0002252,connecting branch of,"b connecting-branch-of s iff b is connected to s, and there exists some tree-like structure t such that the mereological sum of b plus s is either the same as t or a branching-part-of t."
http://purl.obolibrary.org/obo/RO_0002253,has connecting branch,inverse of connecting branch of
http://purl.obolibrary.org/obo/RO_0002254,has developmental contribution from,x has developmental contribution from y iff x has some part z such that z develops from y
http://purl.obolibrary.org/obo/RO_0002255,developmentally contributes to,inverse of has developmental contribution from
http://purl.obolibrary.org/obo/RO_0002256,developmentally induced by,"t1 induced_by t2 if there is a process of developmental induction (GO:0031128) with t1 and t2 as interacting participants. t2 causes t1 to change its fate from a precursor material anatomical entity type T to T', where T' develops_from T"
http://purl.obolibrary.org/obo/RO_0002257,developmentally induces,Inverse of developmentally induced by
http://purl.obolibrary.org/obo/RO_0002258,developmentally preceded by,"Candidate definition: x developmentally related to y if and only if there exists some developmental process (GO:0032502) p such that x and y both participates in p, and x is the output of p and y is the input of p"
http://purl.obolibrary.org/obo/RO_0002260,has biological role,c has-biological-role r iff c has-role r and r is a biological role (CHEBI:24432)
http://purl.obolibrary.org/obo/RO_0002261,has application role,c has-application-role r iff c has-role r and r is an application role (CHEBI:33232)
http://purl.obolibrary.org/obo/RO_0002262,has chemical role,c has-chemical-role r iff c has-role r and r is a chemical role (CHEBI:51086)
http://purl.obolibrary.org/obo/RO_0002263,acts upstream of,"c acts upstream of p if and only if c enables some f that is involved in p' and p' occurs chronologically before p, is not part of p, and affects the execution of p. c is a material entity and f, p, p' are processes."
http://purl.obolibrary.org/obo/RO_0002264,acts upstream of or within,"c acts upstream of or within p if c is enables f, and f is causally upstream of or within p. c is a material entity and p is an process."
http://purl.obolibrary.org/obo/RO_0002285,developmentally replaces,"x developmentally replaces y if and only if there is some developmental process that causes x to move or to cease to exist, and for the site that was occupied by x to become occupied by y, where y either comes into existence in this site or moves to this site from somewhere else"
http://purl.obolibrary.org/obo/RO_0002286,developmentally succeeded by,Inverse of developmentally preceded by
http://purl.obolibrary.org/obo/RO_0002287,part of developmental precursor of,
http://purl.obolibrary.org/obo/RO_0002291,ubiquitously expressed in,"x is ubiquitously expressed in y if and only if x is expressed in y, and the majority of cells in y express x"
http://purl.obolibrary.org/obo/RO_0002292,expresses,"y expresses x if and only if there is a gene expression process (GO:0010467) that occurs in y, and one of the following holds: (i) x is a gene, and x is transcribed into a transcript as part of the gene expression process (ii) x is a transcript, and x was transcribed from a gene as part of the gene expression process (iii) x is a mature gene product (protein or RNA), and x was translated or otherwise processed from a transcript that was transcribed as part of the gene expression process."
http://purl.obolibrary.org/obo/RO_0002293,ubiquitously expresses,inverse of ubiquiotously expressed in
http://purl.obolibrary.org/obo/RO_0002295,results in developmental progression of,"p results in the developmental progression of s iff p is a developmental process and s is an anatomical entity and p causes s to undergo a change in state at some point along its natural developmental cycle (this cycle starts with its formation, through the mature structure, and ends with its loss)."
http://purl.obolibrary.org/obo/RO_0002296,results in development of,p 'results in development of' c if and only if p is a developmental process and p results in the state of c changing from its initial state as a primordium or anlage through its mature state and to its final state.
http://purl.obolibrary.org/obo/RO_0002297,results in formation of anatomical entity,
http://purl.obolibrary.org/obo/RO_0002298,results in morphogenesis of,The relationship that links an entity with the process that results in the formation and shaping of that entity over time from an immature to a mature state.
http://purl.obolibrary.org/obo/RO_0002299,results in maturation of,The relationship that links an entity with a process that results in the progression of the entity over time that is independent of changes in it's shape and results in an end point state of that entity.
http://purl.obolibrary.org/obo/RO_0002300,results in disappearance of,
